sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,product_online,tax_class_name,visibility,price,base_image,small_image,thumbnail_image,swatch_image,display_product_options_in,additional_attributes,use_config_min_qty,is_qty_decimal,use_config_backorders,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,website_id,additional_images
"3435",,"Default","simple",,"priv,prof","Duo épicéa visible 13.00m","<div style="min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;"><span style="font-weight: bold;"><font size="4">Carrelets épicéa 2-plis DUO</font><br/></span><font size="4">qualité visible (SI)&#44; </font><font size="3"><font size="4">aboutés&#44; rabotés 4 faces&#44; <br/>légèrement chanfreinés&#44; séchés 15%+/-3%</font><br/><br/><font size="4"><span style="text-decoration: underline;">Sections :</span> <span style="font-style: italic;">100/140; 100/160; 100/180; 100/200;  <br/>                 </span></font></font><font size="3"><font size="4"><span style="font-style: italic;">120/180;</span></font></font><font size="3"><font size="4"><span style="font-style: italic;"> 120/200; 120/240; <br/>                 140/140; 140/200; <br/>                 160/160; 160/200; 160/240 mm</span><br/><br/><span style="text-decoration: underline;">Longueur :</span> </font><span style="font-style: italic;"><font size="4">13.00m</font></span></font><font size="3"><font size="4"><br/><font size="3"><span style="font-style: italic;"><br/><span style="font-weight: bold;">Nous disposons également du programme CadWork pour l'optimisation de vos listes !<br/><br/>Sur liste : + 22Fr/m3 si (- de 3m3)  /  + 13Fr/m3 si (+ de 3m3)<br/><br/></span></span></font><font size="3"><font size="4"><span style="text-decoration: underline;">Longueurs:</span></font><span style="font-style: italic;"><font size="4"> sur liste&#44; max 13.50m. <br/><br/>De 13.60m à 16.00m : supplément forfaitaire de 360.- Fr</font></span></font><br/></font></font></div>","1","TVA taux normal","Catalog, Search","900",,,,,"Block after Info Column","product_nbr=dév.site","1","1","1","1","1","1","0","0","1","1","1","0",,
