sku,tier_price_website,tier_price_customer_group,tier_price_qty,tier_price
"3814","All Websites [CHF]","9","1","30.7"
"4308","All Websites [CHF]","9","1","28"
"4680","All Websites [CHF]","9","1","630"
"3560","All Websites [CHF]","9","1","23.15"
"4918","All Websites [CHF]","9","1","60"
"1845","All Websites [CHF]","9","1","24"
"3616","All Websites [CHF]","9","1","6.2"
"4995","All Websites [CHF]","9","1","2.45"
"3981","All Websites [CHF]","9","1","9.9"
"3901","All Websites [CHF]","9","1","7.4"
"3434","All Websites [CHF]","9","1","530"
"4942","All Websites [CHF]","9","1","11"
"4699","All Websites [CHF]","9","1","45"
"3814","All Websites [CHF]","1045","1","30.7"
"4308","All Websites [CHF]","1045","1","24.3"
"4680","All Websites [CHF]","1045","1","570"
"3560","All Websites [CHF]","1045","1","20.25"
"4918","All Websites [CHF]","1045","1","51"
"1845","All Websites [CHF]","1045","1","21"
"3616","All Websites [CHF]","1045","1","4.9"
"4995","All Websites [CHF]","1045","1","2.1"
"3981","All Websites [CHF]","1045","1","8.4"
"3901","All Websites [CHF]","1045","1","6.5"
"3434","All Websites [CHF]","1045","1","490"
"4942","All Websites [CHF]","1045","1","11"
"4699","All Websites [CHF]","1045","1","45"
"3865","All Websites [CHF]","9","1","5.02"
"4540","All Websites [CHF]","9","1","8.55"
"3865","All Websites [CHF]","1045","1","4.6"
"4540","All Websites [CHF]","1045","1","7.89"
