sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,product_online,tax_class_name,visibility,price,base_image,small_image,thumbnail_image,swatch_image,display_product_options_in,additional_attributes,use_config_min_qty,is_qty_decimal,use_config_backorders,use_config_min_sale_qty,use_config_max_sale_qty,is_in_stock,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,website_id,additional_images
3434,,Default,simple,rcat_fr/Charpente et collés/Bois collés/Duo non visibles,"prof,priv",Duo épicéa non visible (60mm),"<div style=""min-width: 20em; min-height: 4em; color: black; background-color: white; text-align: left; font-size: medium; font-family: Arial; font-weight: normal; font-style: normal;""><span style=""font-weight: bold;""><span style=""font-weight: bold;""><font size=""4"">Carrelets ossatures épicéa/sapin </font><br/></span></span><font size=""4"">2-plis DUO qualité non visible (NSI)&#44;</font><font size=""3""><font size=""4""> aboutés&#44; </font><br/></font><font size=""3""><font size=""4"">rabotés 4 faces&#44; légèrement chanfreinés&#44; <br/>séchés 15% +/-3%<br/><br/></font></font><font size=""4""><span style=""text-decoration: underline;"">Sections</span>: <span style=""font-style: italic;""><span style=""font-weight: bold;"">6/8; 6/10; 6/12; 6/14; 6/16; 6/18cm</span><br/>               <br/></span></font><font size=""4""><span style=""text-decoration: underline;"">Longueurs:</span><span style=""font-style: italic;""> <span style=""font-weight: bold;"">13 m</span></span><span style=""font-weight: bold;""> </span><br/></font><span style=""font-weight: bold;""><font size=""4""><br/></font><font size=""3"" style=""font-weight: bold;""><span style=""font-style: italic;"">Nous disposons également du programme CadWork pour l'optimisation de vos listes!</span></font></span></div>",1,TVA taux normal,"Catalog, Search",760,/charpente_et_colles/bois_colles/duo_non_visibles/duo_non_visible.jpg,/charpente_et_colles/bois_colles/duo_non_visibles/duo_non_visible.jpg,/charpente_et_colles/bois_colles/duo_non_visibles/duo_non_visible.jpg,/charpente_et_colles/bois_colles/duo_non_visibles/duo_non_visible.jpg,Block after Info Column,product_nbr=dénv.site,1,1,1,1,1,1,0,0,1,1,1,0,,/charpente_et_colles/bois_colles/duo_non_visibles/duo_non_visible.jpg
