sku,tier_price_website,tier_price_customer_group,tier_price_qty,tier_price
"3814","All Websites [CHF]","9","1","30.7"
"4680","All Websites [CHF]","9","1","630"
"4308","All Websites [CHF]","9","1","28"
"4942","All Websites [CHF]","9","1","11"
"3814","All Websites [CHF]","1045","1","30.7"
"4680","All Websites [CHF]","1045","1","570"
"4308","All Websites [CHF]","1045","1","24.3"
"4942","All Websites [CHF]","1045","1","11"
"3865","All Websites [CHF]","9","1","5.02"
"3865","All Websites [CHF]","1045","1","4.6"
